"Sumer Pathar(Langparpan),Assam"
"Langsomepi,Assam"
"Langlongdang,Assam"
"Phulok Kro Gaon,Assam"
"Long-E-Lubui,Assam"
"Malingkisir,Assam"
"Dengthawali,Assam"
"Kungripi,Assam"
"Kamaidap,Assam"
"Amser,Assam"
"Rongjangphong,Assam"
"Patimukha,Assam"
"Thengmu,Assam"
"Kynthung,Assam"
"Latmarleng,Assam"
"Langhonjar(Phangcho),Assam"
"Umat,Assam"
"Mausaladyang,Assam"
"Umru Laru,Assam"
"Lowai Amsih,Assam"
"Umlapher,Assam"
"Ratial,Assam"
"Pabang,Assam"
"Jalalon,Assam"
"Dengthit,Assam"
"Sabuda,Assam"
"Khili Umwang,Assam"
"Lumphus,Assam"
"Moput,Assam"
"Umwang,Assam"
"Umteliah,Assam"
"Umsarang,Assam"
"Pampura,Assam"
"Umnem,Assam"
"Rupai,Assam"
"Rumphum,Assam"
"Lang-Er-Dang,Assam"
"Umdap,Assam"
"Monjili,Assam"
"Umphanchi,Assam"
"Rongmandiu,Assam"
"Oklokpi,Assam"
"Murap,Assam"
"Umseken,Assam"
"Lang-Ikso,Assam"
"Serengdap,Assam"
"Rongmandu(Engti Gaon),Assam"
"Umlado,Assam"
"Singdoloi,Assam"
"Morinto,Assam"
"Birmaine,Assam"
"Patikyndok,Assam"
"Bukiching,Assam"
"Rongnihang,Assam"
"Langteng Rongphar,Assam"
"Rongchek,Assam"
"Tirkim,Assam"
"Langmet-2,Assam"
"Umrini Gaon,Assam"
"Amtereng,Assam"
"Borpu,Assam"
"Umrinti Gaon No.2,Assam"
"Langmet-1,Assam"
"Langteng,Assam"
"Umpaklong,Assam"
"Chiri,Assam"
"Engti Gaon,Assam"
"Maina Hanse Gaon,Assam"
"Langang Engti Gaon,Assam"
"Solu Rongphar,Assam"
"Wadilangso,Assam"
"Kongehing Tokbi Gaon,Assam"
"Masereng,Assam"
"Mukinda Sevar,Assam"
"Rongchomang Sevar,Assam"
"Parbat Gaon(Rongkhlan),Assam"
"Patarao,Assam"
"Maine Bey Gaon,Assam"
"Arlong Sarlong,Assam"
"Chinong Kadai,Assam"
"Mane Teron Gaon,Assam"
"Lang Makang,Assam"
"Rongkhang,Assam"
"Rongkhang,Assam"
"Rongkhang,Assam"
"Baithalangso,Assam"
"Rongtara,Assam"
"Tika,Assam"
"Umcheret,Assam"
"Uzandonka,Assam"
"Linchika,Assam"
"Somupong,Assam"
"Amsalam,Assam"
"Nok Terang,Assam"
