City, State, Lat, Long 
Sarbura Senar,Assam, 26.052834, 92.56391099999999
Langtuk Teron,Assam, 26.036388, 93.31481199999999
Sarbura Teron,Assam, 26.0456119, 92.564461
Rongagora,Assam, 26.6836873, 92.12783979999999
Sucha,Assam, 26.045118, 92.551315
Maj Barpathar,Assam, 25.9997061, 92.5557048
Maisam,Assam, 25.902258, 92.541984
Eden Bari,Assam, 25.896629, 92.53604899999999
Ran Habai,Assam, 25.895065, 92.53010599999999
Borsing Hanse,Assam, 25.896629, 92.526039
Rongkimi,Assam, None
Tharve-Abi,Assam, 25.887564, 92.52948
Doloni,Assam, 25.9706249, 92.699074
Enghin Gaon,Assam, 25.887564, 92.538856
Kharupindha,Assam, None
Rongmandu,Assam, 25.770452, 92.368736
Larsing Engti,Assam, 25.917807, 92.535912
Umru Phong Langso,Assam, None
Longle-Athan,Assam, None
Birsokro Gaon,Assam, 25.911032, 92.686386
Chamr,Assam, 25.915327, 92.67868000000001
Phetkuso,Assam, 25.907408, 92.67926790000001
Langang Senar Gaon,Assam, 25.906372, 92.686836
Umtalong,Assam, 25.732031, 92.56708499999999
Umchera,Assam, 25.750757, 92.4884639
Umphu Karbi,Assam, 25.746666, 92.478104
Umphu Kuki,Assam, 25.748266, 92.471245
Mujong Nepali,Assam, 25.7649459, 92.51200899999999
Langkircha,Assam, 25.7523899, 92.412483
Longpai,Assam, 25.79459, 92.5056
Socheng,Assam, 25.931446, 92.562179
Mokoiram,Assam, 25.757013, 92.490105
Arting Sanphaw,Assam, 25.7345219, 92.438942
Langap,Assam, 25.750296, 92.702232
Langang Tokbi,Assam, 25.925383, 92.535721
Langang Rongphar,Assam, 25.934891, 92.54201499999999
Dikisir,Assam, None
Langteng Senar,Assam, 25.947504, 92.544617
Jhaluklangteng,Assam, 25.958904, 92.50052699999999
Laram,Assam, 25.935614, 92.50593599999999
Batlok Teron Gaon,Assam, 25.924376, 92.457855
Engti Habai,Assam, None
Umru,Assam, 25.921152, 92.533554
Wodilangso,Assam, 25.929596, 92.53688799999999
Longre,Assam, 25.936129, 92.54495999999999
Larsing,Assam, 25.9422989, 92.556671
Biriklongtar,Assam, None
Langsangti,Assam, 25.889456, 92.577812
Sumer Pathar(Langparpan),Assam, 25.879751, 92.576858
Langsomepi,Assam, 25.645632, 92.72408999999999
Langlongdang,Assam, 25.855106, 92.560631
Long-E-Lubui,Assam, 25.916082, 92.50151799999999
Malingkisir,Assam, 25.916567, 92.5128019
Dengthawali,Assam, 25.896797, 92.429146
Kungripi,Assam, 25.896217, 92.4342039
Kamaidap,Assam, 25.8952269, 92.44247399999999
Amser,Assam, None
Rongjangphong,Assam, 25.724922, 92.78949
Patimukha,Assam, 25.917883, 92.424812
Thengmu,Assam, 25.879917, 92.446129
Latmarleng,Assam, 25.830231, 92.403824
Langhonjar(Phangcho),Assam, 25.851868, 92.415192
Umat,Assam, 25.807039, 92.18315899999999
Mausaladyang,Assam, 25.791328, 92.188278
Umru Laru,Assam, 25.795494, 92.21043399999999
Lowai Amsih,Assam, 25.789448, 92.212303
Umlapher,Assam, 25.783346, 92.20828999999999
Ratial,Assam, 25.774893, 92.212723
Pabang,Assam, 25.765057, 92.2122569
Dengthit,Assam, 25.753347, 92.218811
Sabuda,Assam, 25.754751, 92.223495
Khili Umwang,Assam, 25.6809179, 92.182587
Lumphus,Assam, 25.6891779, 92.18508899999999
Moput,Assam, 25.695736, 92.184151
Umwang,Assam, 25.697256, 92.196579
Umteliah,Assam, 25.710146, 92.205726
Umsarang,Assam, 25.724449, 92.230721
Pampura,Assam, 25.728914, 92.29074899999999
Rupai,Assam, 27.5957736, 95.5618724
Rumphum,Assam, 25.781723, 92.368973
Lang-Er-Dang,Assam, 25.812103, 92.417541
Umdap,Assam, 25.851768, 92.468338
